desc,method,trControl,tuneGrid....deparse.substitute.tuneGrid..,train_result,test_result,timing
test,rpart2,control_custom,tuneGrid2,0.9151061173533084,0.7392550143266475,3.903999999994994
test,rpart2,control_custom,tuneGrid2,0.9151061173533084,0.7392550143266475,4.69999999999709
test,rf,control_custom,rf_tunegrid_2,1.9313358302122348,0.8882521489971347,219.20100000000093
test,xgbTree,control_custom,tuneGrid_xgb,2.9425717852684143,0.828080229226361,8827.84599999999
test,xgbTree,control_custom,tuneGrid1,1.9937578027465668,0.7478510028653295,1459.9170000000013
test,svmRadial,control_custom,svm_tune,0.7191011235955056,0.7564469914040115,61.43300000000454
test,gbm,control_custom,gbm_tune,1.0474406991260923,0.828080229226361,586.2540000000008
test,pls,control_custom,plsr_tunegrid,0.9737827715355806,0.836676217765043,2.6779999999998836
test,glmnet,control_custom,enet_tunegrid,1.0362047440699127,0.7220630372492837,79.79300000000512
test,knn,control_custom,knn_tunegrid,0.947565543071161,0.833810888252149,26.97599999999511
test,rf,control_custom_10,rf_tunegrid_2,1.9263420724094882,0.8710601719197708,442.02999999999884
test,rf,control_custom_7,rf_tunegrid_2,1.937578027465668,0.8567335243553008,447.5599999999977
test,rf,control_custom_5_5,rf_tunegrid_2,1.8963795255930087,0.8424068767908309,310.02900000000955
test,rf,control_custom_5_1,rf_tunegrid_2,1.9300873907615481,0.8681948424068768,62.861999999993714
test,rf,control_custom_10p,rf_tunegrid_2,1.9388264669163546,0.8767908309455588,185.23899999998685
test,rf,control_custom,rf_tunegrid_2,1.9101123595505618,0.8796561604584527,186.5219999999972
rollmean_2,rf,control_custom,rf_tunegrid_2,1.9912609238451935,0.8510028653295129,177.97000000000116
rollmean_3,rf,control_custom,rf_tunegrid_2,1.9275905118601748,0.9455587392550143,190.66199999999662
rollmean_5,rf,control_custom,rf_tunegrid_2,1.9363295880149813,0.9484240687679083,175.58699999999953
rollmean_0,rf,control_custom,rf_tunegrid_2,1.863920099875156,0.9484240687679083,174.02200000001176
goals,rpart2,control,tuneGrid2,1.4042950513538748,2,3.5579999999899883
goals,rf,control,rf_tunegrid_2,2.0168067226890756,2,291.93399999999383
goals,rf,control,rf_tunegrid_2,2.0634920634920637,2,281.26699999999255
goals,rf,control_custom,rf_tunegrid_2,1.996265172735761,2,316.76100000001315
goals,rf,control_custom,rf_tunegrid_2,1.6750700280112045,2,291.5940000000119
rollmean_5,rpart2,control_custom,rpart2_grid,0.9863945578231292,0.8696808510638298,3.605999999999767
rollmean_5,rf,control_custom,rf_tunegrid_2,1.9501133786848073,0.9095744680851063,227.39099999999962
rollmean_4,rf,control_custom,rf_tunegrid_2,1.9580498866213152,0.9308510638297872,229.39499999999862
rollmean_2,rf,control_custom,rf_tunegrid_2,1.9648526077097506,0.9175531914893617,243.67399999999907
rollmean_3,rf,control_custom,rf_tunegrid_2,1.9535147392290249,0.8882978723404256,239
rollmean_0,rf,control_custom,rf_tunegrid_2,1.9671201814058956,0.8882978723404256,254.29999999999927
rollmean_4,rf,control_custom,rf_tunegrid,1.935374149659864,0.9175531914893617,88.01399999999921
rollmean_4,rf,control_custom,rf_tunegrid_3,1.965986394557823,0.9441489361702128,103.65099999999802
rollmean_4,rf,control_custom,rf_tunegrid_4,1.9251700680272108,0.9148936170212766,69.79999999999927
rollmean_4,gbm,control_custom,gbm_tune,0.9784580498866213,0.9308510638297872,720.3469999999979
rollmean_4,nnet,control_custom_basic,nnet_tune_grid,0.9036281179138322,0.8776595744680851,173.52499999999782
