time,control,metric,tuneGrid,algo,res_train,res_test
2023-04-09T19:48:26Z,control,rounded_mae,tuneGrid,rpart2,1.5031928480204342,1.7069486404833838
2023-04-09T19:50:04Z,control,MAE,tuneGrid2,rpart2,1.5031928480204342,1.7069486404833838
2023-04-09T19:50:33Z,control,RMSE,tuneGrid2,rpart2,1.5031928480204342,1.7069486404833838
2023-04-09T20:18:15Z,control,RMSE,tuneGrid1,xgbTree,1.1877394636015326,1.552870090634441
2023-04-09T20:47:51Z,control,RMSE,rf_tunegrid,rf,0.5606641123882503,1.501510574018127
2023-04-09T20:52:52Z,control,RMSE,svm_tune,svmRadial,1.5517241379310345,1.5800604229607251
2023-04-09T21:01:31Z,control,RMSE,gbm_tune,gbm,1.3997445721583652,1.5105740181268883
2023-04-09T21:04:19Z,control,RMSE,plsr_tunegrid,pls,1.4495530012771392,1.5770392749244713
2023-04-09T21:10:07Z,control,RMSE,enet_tunegrid,glmnet,1.4495530012771392,1.552870090634441
2023-04-09T21:12:49Z,control,RMSE,knn_tunegrid,knn,1.4827586206896552,1.5921450151057401
2023-04-09T21:16:15Z,control,MAE,rf_tunegrid,rf,0.6372924648786717,1.5226586102719033
2023-04-09T21:18:36Z,control,rounded_mae,rf_tunegrid,rf,0.5632183908045977,1.498489425981873
2023-04-09T21:43:26Z,control,rounded_mae,nnet_tune_grid,nnet,1.3869731800766283,1.5287009063444108
2023-04-09T21:49:34Z,control,RMSE,nnet_tune_grid,nnet,1.4022988505747127,1.5800604229607251
2023-04-09T22:15:01Z,control,RMSE,rf_tunegrid_2,rf,0.5491698595146871,1.5105740181268883
2023-04-09T22:27:55Z,control,rounded_mae,rf_tunegrid_2,rf,0.5696040868454662,1.4924471299093656
2023-04-10T17:05:26Z,control,rounded_mae,rf_tunegrid_3,rf,0.5836526181353767,1.5166163141993958
2023-04-10T17:10:16Z,control_2,rounded_mae,rf_tunegrid_3,rf,0.5862068965517241,1.501510574018127
2023-04-10T17:17:12Z,control_2,rounded_mae,rf_tunegrid_2,rf,0.578544061302682,1.5075528700906344
